"﻿AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"URL";"E-MAIL";"restaurant (nearest)";"restaurant address";"restaurant latitude";"restaurant longitude";"distance"
"Madrid-Sur";"28049067";"EEI";"BARCO DE PAPEL";"Avenida De Los Cinco Siglos, 1 ";"Navalcarnero";"-";"28600";"918113003";"918113657";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049067";"eei.barcodepapel.navalcarnero@educa.madrid.org";"Rodilla Xanadú";"C.C. Madrid Xanadú Local 116,Somosierra, 28939, ";"40.299309";"-3.926597";"7.765542587344144"
"Madrid-Sur";"28043922";"EEI";"CALEIDOSCOPIO";"Avenida De Carlos V, 3 ";"Móstoles";"-";"28936";"916454995";"916454995";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043922";"eei.caleidoscopio.mostoles@educa.madrid.org";"Rodilla Móstoles";"Av. Dos de Mayo, 6, 28931, MOSTOLES";"40.322042";"-3.865115";"1.308793086990514"
"Madrid-Oeste";"28072429";"EEI";"CALIMERO";"Calle Amapolas, S/n ";"Collado Villalba";"-";"28400";"674334740";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072429";"eei.calimero.colladovillalba@educa.madrid.org";"Rodilla Camilo Jose Cela";"C/ Camilo Jose Cela, 3, 28232, LAS ROZAS";"40.520154";"-3.8968";"16.28951707552166"
"Madrid-Sur";"28068219";"EEI";"CAMPANILLA";"Calle Miguel De Cervantes, 106 ";"Arroyomolinos";"-";"28939";"916096167";"916119054";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068219";"eei.campanilla.arroyomolinos@educa.madrid.org";"Rodilla Xanadú";"C.C. Madrid Xanadú Local 116,Somosierra, 28939, ";"40.299309";"-3.926597";"3.9840958298402187"
"Madrid-Sur";"28070202";"EEI";"CAMPANILLA";"Calle De Copenhague, 55 ";"Alcorcón";"-";"28922";"605865768";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070202";"eei.campanilla.alcorcon@educa.madrid.org";"Rodilla Tres Aguas";"Avda San Martin de Valdeiglesias 24 Local 132, 28922, MADRID";"40.357282";"-3.834849";"2.0450549188267355"
"Madrid-Capital";"28068301";"EEI";"CAMPANILLA";"Calle De Ávila, 4 ";"Madrid";"Tetuán";"28020";"915707576";"915707576";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068301";"eei.campanilla.madrid@educa.madrid.org";"Rodilla Bravo Murillo 231";"C/ Bravo Murillo 231, 28020, Madrid";"40.457576";"-3.701633";"0.5496520936175996"
"Madrid-Sur";"28049195";"EEI";"CANCIONERO";"Calle Emilia Pardo Bazán, S/n ";"Getafe";"-";"28903";"916969593";"916969593";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049195";"eei.cancionero.getafe@educa.madrid.org";"Rodilla ECI Bercial";"Avda. Comandante Jose Manuel Ripolle,s 2, 28903, Madrid";"40.330063";"-3.727416";"0.6858408131463344"
"Madrid-Norte";"28044252";"EEI";"CANTINELA";"Sector Descubridores, 18 ";"Tres Cantos";"-";"28760";"918033249";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044252";"eei.cantinela.trescantos@educa.madrid.org";"Rodilla Kiosco 3 cantos";"Avda. Labradores 9-11, 28760, Tres Cantos";"40.59935";"-3.709406";"1.4242850026818412"
"Madrid-Sur";"28068086";"EEI";"CARACOL COL COL";"Calle Tablas De Daimiel, S/n ";"Ciempozuelos";"-";"28350";"918086676";"918930668";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068086";"eei.caracolcolcol.ciempozuelos@educa.madrid.org";"Rodilla Valdemoro";"C/ Estrella de Elola 12, 28340, VALDEMORO";"40.19156";"-3.678167";"5.922956349654231"
"Madrid-Norte";"28058147";"EEI";"CARANTOÑAS";"Calle Dalia, 18 ";"Cobeña";"-";"28863";"916208527";"916208527";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28058147";"eei.carantonas.cobena@educa.madrid.org";"Rodilla Alegra";"Calle Salvador Madariaga s/n , 28702, S.S. DE LOS REYES";"40.566539";"-3.609529";"9.122384557967731"
"Madrid-Capital";"28043491";"EEI";"CARRICOCHE";"Calle De Moreja, 1 ";"Madrid";"Usera";"28041";"913170465";"913698583";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043491";"eei.carricoche.madrid@educa.madrid.org";"Rod. Sodexo Doce Octubre";"Hosp.Univ.12 de Octubre, Avda. de Córdoba s/n, 28041, Madrid";"40.374806";"-3.69775";"0.47578533341625073"
"Madrid-Este";"28044136";"EEI";"CARRUSEL";"Calle Violeta, 17 ";"Alcalá de Henares";"-";"28803";"918818387";"918818387";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044136";"eei.carrusel.alcala@educa.madrid.org";"Rodilla Via Complutense";"Vía Complutense, 35, 28802, Alcala de Henares  MADRID";"40.485322";"-3.364744";"1.2565487766400538"
"Madrid-Sur";"28044288";"EEI";"CASA DE LOS NIÑOS";"Avenida De Los Ángeles, 24 ";"Getafe";"-";"28903";"912027973";"916951163";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044288";"eei.casadelosninos.getafe@educa.madrid.org";"Rodilla ECI Bercial";"Avda. Comandante Jose Manuel Ripolle,s 2, 28903, Madrid";"40.330063";"-3.727416";"2.375040523789973"
"Madrid-Norte";"28064305";"EEI";"CASCABELES";"Calle Federico Moreno Torroba, S/n ";"Alcobendas";"-";"28100";"914904824";"917080207";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064305";"eei.cascabeles.alcobendas@educa.madrid.org";"Rodilla Diversia";"C.C Diversia, Avda. Bruselas, nº 21 y 23, Local 8, 28100, Alcobendas";"40.53054";"-3.638403";"2.4214812507446233"
"Madrid-Sur";"28046947";"EEI";"CASCANUECES";"Calle De Los Arquitectos, 35 ";"Getafe";"-";"28903";"916823802";"916823802";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28046947";"eei.cascanueces.getafe@educa.madrid.org";"Rodilla ECI Bercial";"Avda. Comandante Jose Manuel Ripolle,s 2, 28903, Madrid";"40.330063";"-3.727416";"0.8966912149471781"
"Madrid-Sur";"28064123";"EEI";"CASIOPEA";"Calle Toledo, 54 ";"Getafe";"-";"28901";"916950164";"916950164";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064123";"eei.casiopea.getafe@educa.madrid.org";"Rodilla ECI Bercial";"Avda. Comandante Jose Manuel Ripolle,s 2, 28903, Madrid";"40.330063";"-3.727416";"3.5534549164163116"
"Madrid-Este";"28044203";"EEI";"CHARLIE RIVEL";"Calle De Velázquez, S/n ";"Coslada";"-";"28821";"916738938";"916738938";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044203";"eei.charlierivel.coslada@educa.madrid.org";"Rodilla Plenilunio";"CC.Plenilunio, Aracne local 210 2ª  Planta, 28022, MADRID";"40.447127";"-3.587358";"3.2843051343151446"
"Madrid-Capital";"28043508";"EEI";"CHAVALITOS";"Calle De Pradales, 8 ";"Madrid";"Latina";"28047";"914647850";"914630659";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043508";"eei.chavalitos.madrid@educa.madrid.org";"Rodilla Paseo Extremadura";"Pº Extremadura 133, 28011, MADRID";"40.410296";"-3.737252";"1.2531360488317527"
"Madrid-Capital";"28070664";"EEI";"CIELO AZUL";"Bulevar De Indalecio Prieto, 16 ";"Madrid";"Vicálvaro";"28032";"917720849";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070664";"eei.cieloazul.madrid@educa.madrid.org";"Rodilla CC Las Rosas";"CC Las Rosas, Avda de Guadalajara 2 PA Local A5/T5, 28032, Madrid";"40.417969";"-3.621207";"1.7836607589497746"
"Madrid-Capital";"28068050";"EEI";"CINCO LOBITOS";"Calle De Forsitia, 2 ";"Madrid";"Carabanchel";"28054";"914006684";"914006684";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068050";"eei.cincolobitos.madrid@educa.madrid.org";"Rodilla Islazul";"C.C. Islazul, C/ Calderilla 1, local L 134/204 E, 28054, MADRID";"40.363959";"-3.737374";"1.5196648422243701"
"Madrid-Sur";"28043909";"EEI";"COLORES";"Calle Coronel De Palma, S/n ";"Móstoles";"-";"28934";"916180211";"916180211";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043909";"eei.colores.mostoles@educa.madrid.org";"Rodilla Móstoles";"Av. Dos de Mayo, 6, 28931, MOSTOLES";"40.322042";"-3.865115";"0.7169302599208232"
"Madrid-Capital";"28047587";"EEI";"COLORIN COLORADO";"Calle Del Conde De Torralba, 8 ";"Madrid";"Chamartín";"28046";"913159965";"917080207";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047587";"eei.colorincolorado.madrid@educa.madrid.org";"Rodilla Las Torres";"Paseo de la Castellana 274, 28046, MADRID";"40.474669";"-3.6864";"0.3878565923485282"
"Madrid-Oeste";"28058202";"EEI";"CUENTACUENTOS";"Calle Fuente Del Álamo, 10 ";"Collado Villalba";"-";"28400";"918510929";"918510929";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28058202";"eei.cuentacuentos.colladovillalba@educa.madrid.org";"Rodilla Camilo Jose Cela";"C/ Camilo Jose Cela, 3, 28232, LAS ROZAS";"40.520154";"-3.8968";"16.025723498816323"
"Madrid-Este";"28044215";"EEI";"DIAMELA";"Calle Colombia, S/n ";"Coslada";"-";"28823";"916735343";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044215";"eei.diamela.coslada@educa.madrid.org";"Rodilla Plenilunio";"CC.Plenilunio, Aracne local 210 2ª  Planta, 28022, MADRID";"40.447127";"-3.587358";"4.384950219044381"
"Madrid-Este";"28067860";"EEI";"DON MELITON";"Calle Arturo Soria, 5 ";"Alcalá de Henares";"-";"28806";"918786757";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067860";"eei.donmeliton.alcala@educa.madrid.org";"ECI ALCALA DE HENARES";"ECI Alcala de Henares Av. Juan Carlos I s/n, 28806, Alcala de Henares";"40.479153";"-3.401884";"1.1410277952718455"
"Madrid-Oeste";"28072338";"EEI";"DON PIMPON";"Calle De Murillo, 1 ";"Galapagar";"-";"28420";"918585012";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072338";"eei.donpimpon.galapagar@educa.madrid.org";"Rodilla Camilo Jose Cela";"C/ Camilo Jose Cela, 3, 28232, LAS ROZAS";"40.520154";"-3.8968";"11.232731015958683"
"Madrid-Capital";"28072028";"EEI";"DOÑA FRANCISQUITA";"Calle De Cambados, 1 ";"Madrid";"Hortaleza";"28050";"917642004";"917642004";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072028";"eei.donafrancisquita.madrid@educa.madrid.org";"Rodilla Hortaleza";"C/Gran vía de Hortaleza s/n Local 206-207, 28043, MADRID";"40.469684";"-3.641345";"1.3880277424753975"
"Madrid-Sur";"28061687";"EEI";"DULCINEA";"Calle Moraña, 27 ";"Leganés";"-";"28915";"916808230";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28061687";"eei.dulcinea.leganes@educa.madrid.org";"Rodilla Leganés";"C/ Madrid, 1, 28911, Leganes";"40.329416";"-3.766267";"1.0430967668404802"
"Madrid-Capital";"28047472";"EEI";"EL ALBA";"Calle De Toledo, 181 ";"Madrid";"Arganzuela";"28005";"915173351";"915173351";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047472";"eei.elalba.madrid@educa.madrid.org";"Rodilla Vallejo Najera";"Pº Doctor Vallejo Najera 51, 28003, MADRID";"40.403596";"-3.714443";"0.2179211387421711"
"Madrid-Norte";"28068232";"EEI";"EL ALMENDRO";"Calle De Juan Gris, 3 ";"Colmenar Viejo";"-";"28770";"918473480";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068232";"eei.elalmendro.colmenarviejo@educa.madrid.org";"Rodilla Colmenar Viejo";"C/ Corazón de María, 4 Local nº6, 28770, Colmenar Viejo   MADRID";"40.665916";"-3.773969";"0.7657326899825692"
"Madrid-Este";"28070263";"EEI";"EL ARLEQUIN";"Avenida De José Hierro, 88 ";"Rivas-Vaciamadrid";"-";"28521";"914991589";"916442764";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070263";"eei.elarlequin.rivas@educa.madrid.org";"Rodilla H2Ocio";"C/Marie Curie 4 kiosko planta baja, 28521, Rivas-Vaciamadrid";"40.337324";"-3.526776";"0.8884569719956081"
"Madrid-Capital";"28072065";"EEI";"EL BARBERILLO DE LAVAPIES";"Calle Del Granito, 32 C/v Plomo, 16 ";"Madrid";"Arganzuela";"28045";"915397437";"915397437";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072065";"eei.elbarberillodelavapies.madrid@educa.madrid.org";"Rodilla Estacion Sur";"Estacion Sur Autobuses Mendez Alvaro, 28045, MADRID";"40.401615";"-3.686108";"0.7657029519476279"
"Madrid-Capital";"28071851";"EEI";"EL BATEO";"Calle De Pinos De Osuna, 3 ";"Madrid";"Barajas";"28042";"917414436";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28071851";"eei.elbateo.madrid@educa.madrid.org";"Rodilla Plenilunio";"CC.Plenilunio, Aracne local 210 2ª  Planta, 28022, MADRID";"40.447127";"-3.587358";"0.6039042137778751"
"Madrid-Capital";"28043466";"EEI";"EL BELEN";"Calle De Braille, 23 ";"Madrid";"Fuencarral-El Pardo";"28034";"917341043";"917341043";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043466";"eei.elbelen.madrid@educa.madrid.org";"Rodilla Montecarmelo";"CC Montecarmelo  C/ Monasterio Arlanza Nº 20, 28049, Madrid";"40.510216";"-3.690573";"1.7417751701163988"
"Madrid-Sur";"28070937";"EEI";"EL BONSAI";"Calle De Ernest Lluch, S/n ";"Fuenlabrada";"-";"28942";"914985345";"914985345";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070937";"eei.elbonsai.fuenlabrada@educa.madrid.org";"Rod. Sodexo Fuenlabrada";"Camino del Molino, 2, Zona Admisiones, 28942, Fuenlabrada";"40.286685";"-3.816255";"0.43754621218577305"
"Madrid-Capital";"28063076";"EEI";"EL BOSQUE";"Calle De Delicias, 32 ";"Madrid";"Arganzuela";"28045";"915271590";"915271590";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063076";"eei.elbosque.madrid@educa.madrid.org";"Rodilla Delicias";"Pº Delicias 44, 28045, MADRID";"40.402841";"-3.693874";"0.21599556305945675"
"Madrid-Sur";"28064299";"EEI";"EL BOSQUE";"Calle De La Encina, 2 ";"Humanes de Madrid";"-";"28970";"914982718";"914982718";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064299";"eei.elbosque.humanes@educa.madrid.org";"Rod. Sodexo Fuenlabrada";"Camino del Molino, 2, Zona Admisiones, 28942, Fuenlabrada";"40.286685";"-3.816255";"4.385060607424242"
"Madrid-Capital";"28043481";"EEI";"EL CARMEN";"Calle De Vélez Rubio, 181 ";"Madrid";"Hortaleza";"28033";"913029923";"913029923";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043481";"eei.elcarmen.madrid@educa.madrid.org";"Rodilla Cinesa Manoteras";"Av. de Manoteras, 40, 28050, Madrid";"40.486097";"-3.665628";"0.8277107211526815"
"Madrid-Este";"28048142";"EEI";"EL CASCANUECES";"Calle De Paz Camacho, 72 ";"Velilla de San Antonio";"-";"28891";"916552125";"916552125";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28048142";"eei.elcascanueces.velilla@educa.madrid.org";"Rodilla H2Ocio";"C/Marie Curie 4 kiosko planta baja, 28521, Rivas-Vaciamadrid";"40.337324";"-3.526776";"5.190947793846798"
"Madrid-Capital";"28071887";"EEI";"EL CASERIO";"Calle De María Teresa Robledo, 3 ";"Madrid";"Puente de Vallecas";"28018";"913808654";"91 380 86 54";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28071887";"eei.elcaserio.madrid@educa.madrid.org";"Rodilla Mendez Alvaro";"CC. Mendez Alvaro C/ Retama 8, 28042, Madrid";"40.395028";"-3.675646";"1.754053870765912"
"Madrid-Sur";"28068062";"EEI";"EL COCHERITO LERÉ";"Calle De Fuentevaqueros, 12 ";"Fuenlabrada";"-";"28944";"916068472";"916068472";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068062";"eei.elcocheritolere.fuenlabrada@educa.madrid.org";"Rodilla Fuenlabrada";"C.C. Plaza de la Estación, C/ Rumanía Local 2 / T, 28944, FUENLABRADA";"40.282895";"-3.801599";"1.1921876174110257"
