"﻿AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"Total 2014-2015";"Total 2015-2016";"Total 2016-2017";"Total 2017-2018";"Total 2018-2019";"Educación Infantil Especial 2014-2015";"Educación Infantil Especial 2015-2016";"Educación Infantil Especial 2016-2017";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Infantil I Ciclo 2014-2015";"Infantil I Ciclo 2015-2016";"Infantil I Ciclo 2016-2017";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil II Ciclo 2014-2015";"Infantil II Ciclo 2015-2016";"Infantil II Ciclo 2016-2017";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Educación Básica Obligatoria 2014-2015";"Educación Básica Obligatoria 2015-2016";"Educación Básica Obligatoria 2016-2017";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Primaria 2014-2015";"Primaria 2015-2016";"Primaria 2016-2017";"Primaria 2017-2018";"Primaria 2018-2019";"ESO 2014-2015";"ESO 2015-2016";"ESO 2016-2017";"ESO 2017-2018";"ESO 2018-2019";"Bachillerato 2014-2015";"Bachillerato 2015-2016";"Bachillerato 2016-2017";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"FP GM 2014-2015";"FP GM 2015-2016";"FP GM 2016-2017";"FP GM 2017-2018";"FP GM 2018-2019";"FP GS 2014-2015";"FP GS 2015-2016";"FP GS 2016-2017";"FP GS 2017-2018";"FP GS 2018-2019";"FPB 2014-2015";"FPB 2015-2016";"FPB 2016-2017";"FPB 2017-2018";"FPB 2018-2019";"PCPI: Módulos Voluntarios 2014-2015";"PCPI: Módulos Voluntarios 2015-2016";"PCPI: Módulos Voluntarios 2016-2017";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Especial 2014-2015";"PCPI: Especial 2015-2016";"PCPI: Especial 2016-2017";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"Programa Formación Transición Vida Adulta 2014-2015";"Programa Formación Transición Vida Adulta 2015-2016";"Programa Formación Transición Vida Adulta 2016-2017";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programas Profesionales Modalidad Especial 2014-2015";"Programas Profesionales Modalidad Especial 2015-2016";"Programas Profesionales Modalidad Especial 2016-2017";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"lat";"lng"
"Madrid-Capital";"28072004";"EEI";"ANA DE AUSTRIA";"Calle De Ana De Austria, 32 ";"Madrid";"Hortaleza";"28050";"917500832";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072004";"eei.anadeaustria.madrid@educa.madrid.org";"";"178";"180";"176";"";"";"";"";"";"";"";"178";"180";"176";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.495376";"-3.655465"
"Madrid-Sur";"28044161";"EEI";"ANDERSEN";"Avenida De Viña Grande, 2 ";"Alcorcón";"-";"28925";"914880205";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044161";"eei.andersen.alcorcon@educa.madrid.org";"";"110";"104";"126";"118";"122";"";"";"";"";"";"110";"104";"126";"118";"122";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3496458";"-3.806678899999999"
"Madrid-Este";"28068098";"EEI";"ANTON PIRULERO";"Calle Puerto De Bilbao, S/n ";"Coslada";"-";"28821";"916731099";"912973728";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068098";"eei.antonpirulero.coslada@educa.madrid.org";"";"168";"173";"170";"157";"172";"";"";"";"";"";"168";"173";"170";"157";"172";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.416533";"-3.5756272"
"Madrid-Capital";"28079621";"EEI";"ANTONIO MERCERO";"Avenida De Valladolid, 49b ";"Madrid";"-";"28008";"-";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28079621";"null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4295296";"-3.7316097"
"Madrid-Capital";"28062643";"EEI";"ARCE";"Calle Del Alcalde Garrido Juaristi, 6 ";"Madrid";"Moratalaz";"28030";"913285820";"913285820";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28062643";"eei.arce.madrid@educa.madrid.org";"";"114";"108";"113";"118";"117";"";"";"";"";"";"114";"108";"113";"118";"117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4141455";"-3.6564606"
"Madrid-Capital";"28043454";"EEI";"ARCO IRIS";"Calle De Diego Olivera Victorio, 10 ";"Madrid";"Villa de Vallecas";"28031";"913311422";"913311422";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043454";"eei.arcoiris.madrid@educa.madrid.org";"";"75";"74";"76";"75";"74";"";"";"";"";"";"75";"74";"76";"75";"74";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3834452";"-3.6135319"
"Madrid-Este";"28049055";"EEI";"ARCO IRIS";"Calle Valverde De Alcala, 1 ";"Alcalá de Henares";"-";"28806";"918811481";"918811481";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049055";"eei.arcoiris.alcala@educa.madrid.org";"";"112";"123";"106";"107";"123";"";"";"";"";"";"112";"123";"106";"107";"123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4911407";"-3.3670962"
"Madrid-Sur";"28065292";"EEI";"ARTE";"Calle Mezquita, 36 ";"Getafe";"-";"28903";"916843528";"916962941";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28065292";"eei.arte.getafe@educa.madrid.org";"";"118";"116";"117";"117";"118";"";"";"";"";"";"118";"116";"117";"117";"118";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3173547";"-3.7126889"
"Madrid-Oeste";"28068037";"EEI";"ASERRIN ASERRAN";"Calle Castillo De Atienza, 4 ";"Rozas de Madrid, Las";"-";"28232";"916365929";"916365929";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068037";"eei.aserrinaserran.lasrozas@educa.madrid.org";"";"186";"184";"186";"178";"181";"";"";"";"";"";"186";"184";"186";"178";"181";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.50804";"-3.89306"
"Madrid-Capital";"28043740";"EEI";"BÄRBEL INHELDER";"Carretera De Colmenar, K15 ";"Madrid";"Fuencarral-El Pardo";"28049";"914972303";"914972301";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043740";"eei.barbelinhelder.madrid@educa.madrid.org";"";"95";"99";"93";"99";"104";"";"";"";"";"";"95";"99";"93";"99";"104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5285347";"-3.6913636"
"Madrid-Sur";"28049067";"EEI";"BARCO DE PAPEL";"Avenida De Los Cinco Siglos, 1 ";"Navalcarnero";"-";"28600";"918113003";"918113657";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049067";"eei.barcodepapel.navalcarnero@educa.madrid.org";"";"102";"97";"109";"112";"118";"";"";"";"";"";"102";"97";"109";"112";"118";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2813347";"-4.014855"
"Madrid-Sur";"28043922";"EEI";"CALEIDOSCOPIO";"Avenida De Carlos V, 3 ";"Móstoles";"-";"28936";"916454995";"916454995";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043922";"eei.caleidoscopio.mostoles@educa.madrid.org";"";"88";"89";"104";"116";"117";"";"";"";"";"";"88";"89";"104";"116";"117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3229684";"-3.8497634"
"Madrid-Oeste";"28072429";"EEI";"CALIMERO";"Calle Amapolas, S/n ";"Collado Villalba";"-";"28400";"674334740";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072429";"eei.calimero.colladovillalba@educa.madrid.org";"";"107";"79";"136";"139";"168";"";"";"";"";"";"107";"79";"136";"139";"168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6395821";"-4.008516999999999"
"Madrid-Sur";"28068219";"EEI";"CAMPANILLA";"Calle Miguel De Cervantes, 106 ";"Arroyomolinos";"-";"28939";"916096167";"916119054";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068219";"eei.campanilla.arroyomolinos@educa.madrid.org";"";"209";"212";"208";"207";"212";"";"";"";"";"";"209";"212";"208";"207";"212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2641813";"-3.917055"
"Madrid-Sur";"28070202";"EEI";"CAMPANILLA";"Calle De Copenhague, 55 ";"Alcorcón";"-";"28922";"605865768";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070202";"eei.campanilla.alcorcon@educa.madrid.org";"";"89";"96";"100";"110";"95";"";"";"";"";"";"89";"96";"100";"110";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3410242";"-3.8461585"
"Madrid-Capital";"28068301";"EEI";"CAMPANILLA";"Calle De Ávila, 4 ";"Madrid";"Tetuán";"28020";"915707576";"915707576";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068301";"eei.campanilla.madrid@educa.madrid.org";"";"117";"118";"118";"";"";"";"";"";"";"";"117";"118";"118";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.45262839999999";"-3.7018299"
"Madrid-Sur";"28049195";"EEI";"CANCIONERO";"Calle Emilia Pardo Bazán, S/n ";"Getafe";"-";"28903";"916969593";"916969593";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049195";"eei.cancionero.getafe@educa.madrid.org";"";"109";"112";"116";"117";"119";"";"";"";"";"";"109";"112";"116";"117";"119";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.32487769999999";"-3.7230313"
"Madrid-Norte";"28044252";"EEI";"CANTINELA";"Sector Descubridores, 18 ";"Tres Cantos";"-";"28760";"918033249";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044252";"eei.cantinela.trescantos@educa.madrid.org";"";"75";"61";"59";"70";"91";"";"";"";"";"";"75";"61";"59";"70";"91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6109592";"-3.7165605"
"Madrid-Sur";"28068086";"EEI";"CARACOL COL COL";"Calle Tablas De Daimiel, S/n ";"Ciempozuelos";"-";"28350";"918086676";"918930668";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068086";"eei.caracolcolcol.ciempozuelos@educa.madrid.org";"";"92";"87";"111";"140";"163";"";"";"";"";"";"92";"87";"111";"140";"163";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.152862";"-3.630309199999999"
"Madrid-Norte";"28058147";"EEI";"CARANTOÑAS";"Calle Dalia, 18 ";"Cobeña";"-";"28863";"916208527";"916208527";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28058147";"eei.carantonas.cobena@educa.madrid.org";"";"84";"81";"84";"81";"85";"";"";"";"";"";"84";"81";"84";"81";"85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5697194";"-3.5018845"
"Madrid-Capital";"28043491";"EEI";"CARRICOCHE";"Calle De Moreja, 1 ";"Madrid";"Usera";"28041";"913170465";"913698583";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043491";"eei.carricoche.madrid@educa.madrid.org";"";"89";"91";"102";"109";"107";"";"";"";"";"";"89";"91";"102";"109";"107";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3706743";"-3.6992339"
"Madrid-Este";"28044136";"EEI";"CARRUSEL";"Calle Violeta, 17 ";"Alcalá de Henares";"-";"28803";"918818387";"918818387";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044136";"eei.carrusel.alcala@educa.madrid.org";"";"103";"104";"130";"144";"144";"";"";"";"";"";"103";"104";"130";"144";"144";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4753499";"-3.3717481"
"Madrid-Sur";"28044288";"EEI";"CASA DE LOS NIÑOS";"Avenida De Los Ángeles, 24 ";"Getafe";"-";"28903";"912027973";"916951163";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044288";"eei.casadelosninos.getafe@educa.madrid.org";"";"115";"128";"123";"123";"117";"";"";"";"";"";"63";"63";"62";"62";"61";"52";"65";"61";"61";"56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3093946";"-3.7202243"
"Madrid-Norte";"28064305";"EEI";"CASCABELES";"Calle Federico Moreno Torroba, S/n ";"Alcobendas";"-";"28100";"914904824";"917080207";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064305";"eei.cascabeles.alcobendas@educa.madrid.org";"";"114";"110";"119";"117";"112";"";"";"";"";"";"114";"110";"119";"117";"112";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5495776";"-3.652341899999999"
