"latitude";"longitude";"phone";"address";"name"
"40.449496";"-3.695054";"638586567";"Calle Orense, 16 Madrid";"VIPS Azca"
"40.430336";"-3.663786";"638573118";"Calle Alcalá, 200 Madrid";"VIPS Alcalá 200"
"40.397295";"-3.667006";"660626321";"Avenida de la Albufera, 25 Madrid";"VIPS Albufera"
"40.450094";"-3.687944";"638585596 ";"Paseo de la Habana, 17 Madrid";"VIPS Habana"
"40.445556";"-3.668351";"638590147";"Calle Clara del Rey, 59 Madrid";"VIPS Clara del Rey"
"40.458028";"-3.685373";"638587898";"Calle del Padre Damián, 38 Madrid";"VIPS Padre Damián"
"40.459366";"-3.694332";"638586076";"Calle Orense, 79 Madrid";"VIPS Orense"
"40.457775";"-3.676680";"638588905";"Calle del Príncipe de Vergara, 268 Madrid";"VIPS Príncipe de Vergara"
"40.444721";"-3.654103";"638580354";"Calle de la Condesa de Venadito, 5 Madrid";"VIPS Condesa de Venadito"
"40.434064";"-3.645843";"910502811";"Calle Alcalá, 336 Madrid";"VIPS Smart Alcalá 336"
"40.457609";"-3.658429";"910587421";"Calle Arturo Soria, 177 Madrid";"VIPS Ciudad Lineal"
"40.439255";"-3.632362";"638585215";"Calle de Alcalá, 474 Madrid";"VIPS Alcalá 474"
"40.363789";"-3.738019";"638572619";"Calle Calderilla, 1 Madrid";"VIPS Islazul"
"40.473936";"-3.676107";"910740179";"Avenida de Burgos, 19 Madrid";"VIPS Avd. de Burgos"
"40.418207";"-3.623174";"912751772";"Avenida de Guadalajara, 2 Madrid";"VIPS CC Las Rosas"
"40.476394";"-3.686094";"638563012";"Paseo de la Castellana, 280 Madrid";"VIPS Castellana 280"
"40.479732";"-3.708489";"649404377";"Avenida Monforte de Lemos, 36 (C.C. Vaguada) Madrid";"VIPS Vaguada"
"40.476290";"-3.671007";"638585017";"Calle Serrano Galvache, 56 Madrid";"VIPS Parque Norte"
"40.440227";"-3.786281";"638585491";"Vía de las Dos Castillas, 33. (Edificio Ática nº 3). Pozuelo de Alarcón";"VIPS Ática"
"40.462843";"-3.635943";"638565445";"Calle de Silvano, 77 Madrid";"VIPS Palacio de Hielo"
"40.454915";"-3.622506";"638582786";"Glorieta Mar del Caribe, 1 Madrid";"VIPS Tucumán"
"40.418740";"-3.800672";"638580688";"Paseo del Club Deportivo, s/n, Urbanización La Finca Pozuelo de Alarcón";"VIPS La Finca"
"40.396132";"-3.799227";"912751511";"Calle Edgar Neville, s/n (C.C. Kinépolis) Pozuelo de Alarcón";"VIPS Smart Kinépolis"
"40.490583";"-3.722641";"638563475";"Calle Mirador de la Reina, 107 Madrid";"VIPS Mirasierra"
"40.486235";"-3.665446";"912751453";"Avenida de Manoteras, 40 (C.O. Manoteras) Madrid";"VIPS Smart Manoteras"
"40.394339";"-3.799486";"638584631 ";"Calle Edgar Neville, s/n Pozuelo de Alarcón";"VIPS Ciudad de la Imagen"
"40.340952";"-3.731206";"638561284";"Avenida Gran Bretaña, s/n Leganés";"VIPS Parquesur"
"40.464892";"-3.785834";"911703548";"Camino de la Zarzuela, 15 Aravaca";"VIPS Valdemarín"
"40.358961";"-3.776097";"914213313";"Calle Mondragón S/N  (C.C. Outlet Sambil) Leganes";"VIPS Smart Sambil Outlet"
"40.496392";"-3.666823";"638575645 ";"Avenida de Burgos, 119 Madrid";"VIPS Gorbea"
"40.447116";"-3.587401";"638579058";"Calle Aracne, 3 (C.C. Plenilunio) Madrid";"VIPS Plenilunio"
"40.509985";"-3.690128";"676741095";"Calle del Monasterio de Arlanza, 20 Madrid";"VIPS Smart Montecarmelo"
"40.368546";"-3.597976";"638573458";"Calle de Adolfo Bioy Casares, 2 Madrid";"VIPS CC La Gavia"
"40.510418";"-3.678193";"910502711";"Calle Isabel Colbrand, 20 Madrid";"VIPS Smart Isabel Colbrand"
"40.467558";"-3.816495";"912752134";"Avenida de la Victoria, 2 (C.C. Sexta Avenida) Majadahonda";"VIPS Sexta Avenida"
"40.518714";"-3.656735";"638570550";"Avenida de Europa, 10 Alcobendas";"VIPS Moraleja Green"
"40.358394";"-3.832174";"638566408";"Avenida de América, 7-9 (C.C. Tres Aguas) Alcorcón";"VIPS Tres Aguas"
"40.530538";"-3.638532";"912752223";"Avenida de Bruselas, 21 (C.O. Heron Diversia) Alcobendas";"VIPS Diversia"
"40.348805";"-3.849209";"638541044";"Avenida Europa, 7 Madrid";"VIPS Alcorcón"
"40.533953";"-3.627047";"683436285";"Calle Anabel Segura, s/n Alcobendas";"VIPS Albatros"
"40.408448";"-3.880734";"918 280 382";"Calle Isabel II, 1 Boadilla del Monte";"VIPS Boadilla"
"40.454279";"-3.874217";"638570545";"Calle de la Fresa, 2 (C.C. Equinoccio) Madrid";"VIPS Equinoccio"
"40.468174";"-3.870885";"916396512";"Plaza Colón, s/n Majadahonda";"VIPS Majadahonda"
"40.547772";"-3.640647";"912759391";"Avenida España, 17-A (C.C. La Gran Manzana) Madrid";"VIPS Alcobendas"
"40.540815";"-3.613584";"911753436";"Plaza del Comercio, 11-12 San Sebastián de los Reyes";"VIPS Smart Plaza Norte II"
"40.272518";"-3.696134";"912750291";"Avenida Río Guadalquivir, 13 (CC Nassica) Getafe";"VIPS Smart CC Nassica"
"40.272051";"-3.695102";"638580150";"Avenida Río Guadalquivir, 13, Área Empresarial Andalucía (C.C. Nassica) Madrid";"VIPS Nassica"
"40.544154";"-3.613428";"638565648";"Plaza del Comercio, s/n (P.C. Megapark) San Sebastián de los Reyes";"VIPS Moscatelares"
"40.302273";"-3.832702";"910129500";"Avenida Pablo Iglesias, 17 Fuenlabrada";"VIPS Smart CC Loranca"
"40.282804";"-3.800936";"911750727";"Calle Hungría, s/n Fuenlabrada";"VIPS Smart Pz Estación Fuenlabrada"
"40.337781";"-3.526995";"638563535";"Calle Marie Curie, s/n (C.C. H2O) Rivas-Vaciamadrid";"VIPS Rivas Futura"
"40.281260";"-3.814455";"912 990 830";"Avenida de la Universidad, 1 Madrid";"VIPS Fuenlabrada"
"40.329663";"-3.883095";"911997279";"Avenida Olímpica, 25 (CC El Soto) Mostoles";"VIPS Móstoles"
"40.314899";"-3.871751";"";"Paseo de Arroyomolinos, 33 A Mostoles";"VIPS Arroyomolinos"
"40.488528";"-3.897718";"917273505";"Calle Matemáticos (C.C. Arco) Majadahonda";"VIPS  CC Arco"
"40.491542";"-3.898668";"910327163";"Calle de los Químicos, 2 Majadahonda";"VIPS Smart Gran Plaza II"
"40.567942";"-3.609774";"639428902";"Calle Salvador De Madariaga, S/N Madrid";"VIPS Smart Alegra"
"40.523698";"-3.883813";"910266073";"Carretera Nacional VI, km 22´500 , local 21, planta baja (C.C. El Pinar) Las Rozas";"VIPS Smart El Pinar de Las Rozas"
"40.515924";"-3.897280";"638589503";"Calle Camilo José Cela, 2 Las Rozas";"VIPS Heron City"
"40.523526";"-3.890895";"638562554";"Calle Camilo José Cela, 24 (C.C. El Palmeral) Las Rozas";"VIPS El Palmeral"
"40.476265";"-3.480753";"638573698";"Carretera Ajalvir, s/n Torrejón de Ardoz";"VIPS CC Parque Corredor"
"40.599571";"-3.709401";"682214308";"Avenida de los Labradores 9-11 Tres Cantos";"VIPS CC Tres Cantos"
"40.605300";"-3.717650";"638588232";"Plaza del Toro, 1 Madrid";"VIPS Tres Cantos"
"40.299910";"-3.925315";"638566828";"Calle Puerto Navacerrada,1 (C.C. Madrid Xanadú) Arroyomolinos";"VIPS CC Xanadú"
"40.190224";"-3.691826";"918762618";"Avenida de España, 10-12 Valdemoro";"VIPS Smart Valdemoro"
"40.482056";"-3.396256";"638581206";"Avenida Juan Carlos I, 13 Alcalá de Henares";"VIPS La Garena"
"40.659229";"-3.754677";"";"Avenida de la Tejera, 2 Colmenar Viejo";"VIPS Smart El Ventanal"
"40.495116";"-3.359546";"638570951";"Calle Valentín Juara Bellot, 4 Madrid";"VIPS Alcalá Magna"
"40.637297";"-4.017401";"638581008";"Avenida Juan Carlos I, 46 (C.C.O. Planetocio) Collado Villaba";"VIPS Planetocio Villalba"
"40.622231";"-3.166288";"638572514";"Avenida Eduardo Guitián, 13-19 (C.C. Ferial Plaza) Guadalajara";"VIPS Ferial Plaza"
"39.905060";"-4.017228";"";"Carretera CM-4003 Toledo";"VIPS Smart Abadia"
"39.861939";"-3.980385";"638574822";"Avenida del Río Guadiana s/n (P.C. Fusión) Toledo";"VIPS Toledo"
"40.947850";"-4.119601";"921460048";"Calle Cervantes, 16 Segovia";"VIPS Smart Segovia"
